time	TC4_1	TC4_2	TC4_3	TC4_4
(sec)	(degC)	(degC)	(degC)	(degC)

904.15104	44	26	24	27
904.23296	44	26	24	27
904.31488	44	26	24	27
904.39680	44	26	24	27
904.47872	44	26	24	27
904.56064	44	26	24	27
904.64256	44	26	24	27
904.72448	44	26	24	27
904.80640	44	26	24	27
904.88832	44	26	24	27
904.97024	44	26	24	27
905.05216	43	26	24	27
905.13408	43	26	24	27
905.21600	43	26	24	27
905.29792	43	26	24	27
905.37984	43	26	24	27
905.46176	43	26	24	27
905.54368	43	26	24	27
905.62560	43	26	24	27
905.70752	43	26	24	27
905.78944	43	26	24	27
905.87136	43	26	24	27
905.95328	43	26	24	27
906.03520	43	26	24	27
906.11712	43	26	24	27
906.19904	43	26	24	27
906.28096	43	26	24	27
906.36288	43	26	24	27
906.44480	43	26	24	27
906.52672	43	26	24	27
906.60864	43	26	24	27
906.69056	43	26	24	27
906.77248	43	26	24	27
906.85440	43	26	24	27
906.93632	43	26	24	27
907.01824	43	26	24	27
907.10016	43	26	24	27
907.18208	43	26	24	27
907.26400	43	26	24	27
907.34592	43	26	24	27
907.42784	43	26	24	27
907.50976	43	26	24	27
907.59168	43	26	24	27
907.67360	43	26	24	27
907.75552	43	26	24	27
907.83744	43	26	24	27
907.91936	43	26	24	27
908.00128	43	26	24	27
908.08320	43	26	24	27
908.16512	43	26	24	27
908.24704	43	26	24	27
908.32896	43	26	24	27
908.41088	43	26	24	27
908.49280	43	26	24	27
908.57472	43	26	24	27
908.65664	43	26	24	27
908.73856	43	26	24	27
908.82048	43	26	24	27
908.90240	43	26	24	27
908.98432	43	26	24	27
909.06624	43	26	24	27
909.14816	43	26	24	27
909.23008	43	26	24	27
909.31200	43	26	24	27
909.39392	43	26	24	27
909.47584	43	26	24	27
909.55776	43	26	24	27
909.63968	43	26	24	27
909.72160	43	26	24	27
909.80352	43	26	24	27
909.88544	43	26	24	27
909.96736	43	26	24	27
910.04928	43	26	24	27
910.13120	43	26	24	27
910.21312	43	26	24	27
910.29504	43	26	24	27
910.37696	43	26	24	27
910.45888	43	26	24	27
